input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,log,random,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,4,40,0.676368738351084,0,8,4
none,log,random,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,4,41,1.11772335459616,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,4,42,1.15312926988805,0,8,4
none,log,random,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,4,43,1.13898868014801,0,8,4
none,log,random,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,4,44,0.817616755599634,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,PI,,,,CMAES,acqf,4,45,0.0706138043379552,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,Mean,,,,CMAES,acqf,4,46,0.960165040771274,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,1,,TRUE,CMAES,acqf,4,47,1.05123380524754,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,TRUE,CMAES,acqf,4,48,1.17695675700556,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,10,,TRUE,CMAES,acqf,4,49,1.04374241404276,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,1,,FALSE,CMAES,acqf,4,50,1.08655819191959,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,acqf,4,51,1.177084616541,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,10,,FALSE,CMAES,acqf,4,52,1.04032832462764,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,TRUE,,CMAES,acqf,4,53,1.15054419898933,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,RS_1000,acqopt,4,54,0.874488866015152,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,RS,acqopt,4,55,0.953144507524574,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,LS,acqopt,4,56,1.14582038914381,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,DIRECT,acqopt,4,57,1.04624603604462,0,8,4
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,LBFGSB,acqopt,4,58,0.854493014002085,0,8,4
unitcube,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,input_trafo,5,1,1.18356807618047,0,8,5
none,none,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,output_trafo,5,2,0.940802220509938,0,8,5
none,standardize,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,output_trafo,5,3,0.943562681813139,0,8,5
none,log,lhs,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,init,5,4,1.17352302760929,0,8,5
none,log,sobol,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,init,5,5,1.17747601931957,0,8,5
none,log,random,0.05,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,init_size_fraction,5,6,1.16431304949388,0,8,5
none,log,random,0.10,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,init_size_fraction,5,7,1.17708664429078,0,8,5
none,log,random,0.25,2,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,random_interleave_iter,5,8,1.14362423165047,0,8,5
none,log,random,0.25,4,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,random_interleave_iter,5,9,1.1606099488762,0,8,5
none,log,random,0.25,0,rf,TRUE,10,jack,,,,CB,3,,FALSE,CMAES,surrogate,5,10,0.907562403265309,0,8,5
none,log,random,0.25,0,rf,FALSE,10,jack,,,,CB,3,,FALSE,CMAES,surrogate,5,11,0.906265188583593,0,8,5
none,log,random,0.25,0,rf,TRUE,500,jack,,,,CB,3,,FALSE,CMAES,surrogate,5,12,1.00420140067962,0,8,5
none,log,random,0.25,0,rf,FALSE,500,jack,,,,CB,3,,FALSE,CMAES,surrogate,5,13,0.983908422531869,0,8,5
none,log,random,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,5,14,1.0109475217818,0,8,5
none,log,random,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,5,15,1.01419230066689,0,8,5
none,log,random,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,5,16,1.07355745932455,0,8,5
none,log,random,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,5,17,1.04280173426436,0,8,5
none,log,random,0.25,0,rf,TRUE,10,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,5,18,1.05436800318161,0,8,5
none,log,random,0.25,0,rf,FALSE,10,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,5,19,1.03761063015265,0,8,5
none,log,random,0.25,0,rf,TRUE,500,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,5,20,1.01342612361052,0,8,5
none,log,random,0.25,0,rf,FALSE,500,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,5,21,1.01216484259452,0,8,5
none,log,random,0.25,0,gp,,,,gauss,0,TRUE,CB,3,,FALSE,CMAES,surrogate,5,22,1.02013008125764,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,TRUE,CB,3,,FALSE,CMAES,surrogate,5,23,1.1104941420949,0,8,5
none,log,random,0.25,0,gp,,,,matern5_2,0,TRUE,CB,3,,FALSE,CMAES,surrogate,5,24,1.08367124952217,0,8,5
none,log,random,0.25,0,gp,,,,exp,0,TRUE,CB,3,,FALSE,CMAES,surrogate,5,25,1.10430739963767,0,8,5
none,log,random,0.25,0,gp,,,,gauss,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,5,26,1.00543763365835,0,8,5
