input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,2,3,0.338524437367095,0,14,2
none,log,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,2,4,0.489036094513592,0,14,2
none,log,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,2,5,0.504748067138644,0,14,2
none,log,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,2,6,0.505813572388054,0,14,2
none,log,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,2,7,0.50697691118212,0,14,2
none,log,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,2,8,0.441590834956726,0,14,2
none,log,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,2,9,0.476458540158435,0,14,2
none,log,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,RS_1000,trees,2,10,0.425539448994189,0,14,2
none,log,random,0.25,0,500,jack,EI,,FALSE,,RS_1000,variance_estimator,2,11,0.499290294761311,0,14,2
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,variance_estimator,2,12,0.522381266414557,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,PI,,,,RS_1000,acqf,2,13,0.491414188946583,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,RS_1000,acqf,2,14,0.504954415136695,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,RS_1000,acqf,2,15,0.51109914355566,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,RS_1000,acqf,2,16,0.490889336124938,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,RS_1000,acqf,2,17,0.476672648320491,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,RS_1000,acqf,2,18,0.502219825966808,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,RS_1000,acqf,2,19,0.508946690754538,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,RS_1000,acqf,2,20,0.455471139324621,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,RS_1000,acqf,2,21,0.497145147373121,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,2,22,0.540457393035064,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,acqopt,2,23,0.68638071487657,0,14,2
unitcube,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,input_trafo,3,1,0.665479832339414,0,14,3
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,output_trafo,3,2,0.469062449443769,0,14,3
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,output_trafo,3,3,0.482630849379092,0,14,3
none,log,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init,3,4,0.702196414026584,0,14,3
none,log,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init,3,5,0.672602661428471,0,14,3
none,log,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init_size_fraction,3,6,0.689575431439226,0,14,3
none,log,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init_size_fraction,3,7,0.702149570308339,0,14,3
none,log,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,LS,random_interleave_iter,3,8,0.605269079373673,0,14,3
none,log,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,LS,random_interleave_iter,3,9,0.672449041632309,0,14,3
none,log,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,LS,trees,3,10,0.494591412805748,0,14,3
none,log,random,0.25,0,500,jack,EI,,FALSE,,LS,variance_estimator,3,11,0.668699468136241,0,14,3
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,variance_estimator,3,12,0.784719421320485,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,PI,,,,LS,acqf,3,13,0.68375642501649,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,LS,acqf,3,14,0.714325858287172,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,LS,acqf,3,15,0.742429185277302,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,LS,acqf,3,16,0.726388782264767,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,LS,acqf,3,17,0.638006200086323,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,acqf,3,18,0.736903858362286,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,LS,acqf,3,19,0.731197117322011,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,LS,acqf,3,20,0.641357381271678,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,LS,acqf,3,21,0.690526146141207,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,acqopt,3,22,0.495121242262195,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,3,23,0.550516340114664,0,14,3
unitcube,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,input_trafo,4,1,0.774405413107744,0,14,4
none,none,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,4,2,0.523233763643102,0,14,4
none,standardize,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,4,3,0.584303291814537,0,14,4
none,log,lhs,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,init,4,4,0.766526981123731,0,14,4
none,log,sobol,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,init,4,5,0.747544053021771,0,14,4
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,4,6,0.754445646685511,0,14,4
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,4,7,0.777751101181543,0,14,4
none,log,random,0.25,2,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,4,8,0.726052192425031,0,14,4
none,log,random,0.25,4,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,4,9,0.751783254033186,0,14,4
none,log,random,0.25,0,10,law_of_total_variance,EI,,FALSE,,LS,trees,4,10,0.628476600663248,0,14,4
none,log,random,0.25,0,500,jack,EI,,FALSE,,LS,variance_estimator,4,11,0.669578889098985,0,14,4
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,variance_estimator,4,12,0.694969961422175,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,PI,,,,LS,acqf,4,13,0.741707934777286,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,Mean,,,,LS,acqf,4,14,0.710803004989786,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,4,15,0.743066853726215,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,4,16,0.771489497812191,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,4,17,0.733620681670334,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,4,18,0.752768015629218,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,4,19,0.768176691957461,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,4,20,0.76798518678142,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,4,21,0.774223863257697,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,acqopt,4,22,0.506808111722981,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS,acqopt,4,23,0.590236582846786,0,14,4
unitcube,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,input_trafo,5,1,0.766473975477897,0,14,5
none,none,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,5,2,0.526787005532056,0,14,5
none,standardize,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,5,3,0.631212621383368,0,14,5
none,log,lhs,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,init,5,4,0.789275481161773,0,14,5
none,log,sobol,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,init,5,5,0.749779048774627,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,5,6,0.794444976938041,0,14,5
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,5,7,0.772602067286886,0,14,5
none,log,random,0.10,2,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,5,8,0.73620750245775,0,14,5
none,log,random,0.10,4,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,5,9,0.754227666443598,0,14,5
none,log,random,0.10,0,10,law_of_total_variance,EI,,FALSE,,LS,trees,5,10,0.672631704810246,0,14,5
none,log,random,0.10,0,500,jack,EI,,FALSE,,LS,variance_estimator,5,11,0.679386117140094,0,14,5
none,log,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,variance_estimator,5,12,0.723836009696808,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,PI,,,,LS,acqf,5,13,0.72666136432647,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,Mean,,,,LS,acqf,5,14,0.705494881775721,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,5,15,0.753167173351404,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,5,16,0.795561603120694,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,5,17,0.765093795476825,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,5,18,0.758498497146465,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,5,19,0.795990258468379,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,5,20,0.775910855516541,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,5,21,0.766556660329898,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,acqopt,5,22,0.511004307225321,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,RS,acqopt,5,23,0.606164938003935,0,14,5
unitcube,log,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,input_trafo,6,1,0.790647408094017,0,14,6
none,none,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,output_trafo,6,2,0.443437644149889,0,14,6
none,standardize,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,output_trafo,6,3,0.408656554666398,0,14,6
none,log,lhs,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,init,6,4,0.780532183110085,0,14,6
none,log,sobol,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,init,6,5,0.767899254552542,0,14,6
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,init_size_fraction,6,6,0.790304948149864,0,14,6
none,log,random,0.25,0,500,law_of_total_variance,CB,3,,FALSE,LS,init_size_fraction,6,7,0.754360059398616,0,14,6
none,log,random,0.10,2,500,law_of_total_variance,CB,3,,FALSE,LS,random_interleave_iter,6,8,0.723783603787461,0,14,6
none,log,random,0.10,4,500,law_of_total_variance,CB,3,,FALSE,LS,random_interleave_iter,6,9,0.789725364210528,0,14,6
none,log,random,0.10,0,10,law_of_total_variance,CB,3,,FALSE,LS,trees,6,10,0.683851921157813,0,14,6
none,log,random,0.10,0,500,jack,CB,3,,FALSE,LS,variance_estimator,6,11,0.733220718188771,0,14,6
none,log,random,0.10,0,500,ensemble_standard_deviation,CB,3,,FALSE,LS,variance_estimator,6,12,0.751594577513048,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,PI,,,,LS,acqf,6,13,0.774509790877583,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,Mean,,,,LS,acqf,6,14,0.710971146803312,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,6,15,0.762193469143312,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,6,16,0.790324525642624,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,6,17,0.765299276592701,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,6,18,0.802213119159612,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,6,19,0.756551594553502,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,6,20,0.769231282774353,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,acqf,6,21,0.798764191568195,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,RS_1000,acqopt,6,22,0.538874697377346,0,14,6
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,RS,acqopt,6,23,0.589406516416519,0,14,6
unitcube,log,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,input_trafo,7,1,0.725536022711769,0,14,7
none,none,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,output_trafo,7,2,0.589804686496215,0,14,7
none,standardize,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,output_trafo,7,3,0.687073363992035,0,14,7
none,log,lhs,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,init,7,4,0.766894734864184,0,14,7
none,log,sobol,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,init,7,5,0.753697348443084,0,14,7
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,init_size_fraction,7,6,0.816058484524809,0,14,7
none,log,random,0.25,0,500,law_of_total_variance,CB,1,,FALSE,LS,init_size_fraction,7,7,0.760405224173438,0,14,7
none,log,random,0.10,2,500,law_of_total_variance,CB,1,,FALSE,LS,random_interleave_iter,7,8,0.744627875420513,0,14,7
none,log,random,0.10,4,500,law_of_total_variance,CB,1,,FALSE,LS,random_interleave_iter,7,9,0.76173991706907,0,14,7
none,log,random,0.10,0,10,law_of_total_variance,CB,1,,FALSE,LS,trees,7,10,0.67543772731925,0,14,7
none,log,random,0.10,0,500,jack,CB,1,,FALSE,LS,variance_estimator,7,11,0.73669998247347,0,14,7
none,log,random,0.10,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,variance_estimator,7,12,0.758628951172652,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,PI,,,,LS,acqf,7,13,0.744392389344282,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,Mean,,,,LS,acqf,7,14,0.711644667835707,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,7,15,0.754973838687159,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,7,16,0.80065750598257,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,7,17,0.766278099744902,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,7,18,0.777716008537284,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,7,19,0.769744937018355,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,7,20,0.796084342122296,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,acqf,7,21,0.752978712820874,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,RS_1000,acqopt,7,22,0.558780161906257,0,14,7
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,RS,acqopt,7,23,0.60067200780807,0,14,7
unitcube,log,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,input_trafo,8,1,0.796004794452947,0,14,8
none,none,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,output_trafo,8,2,0.599697634459861,0,14,8
none,standardize,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,output_trafo,8,3,0.740102332467929,0,14,8
none,log,lhs,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,init,8,4,0.773510667602135,0,14,8
none,log,sobol,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,init,8,5,0.755550867542508,0,14,8
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,init_size_fraction,8,6,0.77545840445014,0,14,8
none,log,random,0.25,0,500,law_of_total_variance,CB,1,,FALSE,LS,init_size_fraction,8,7,0.762712252914671,0,14,8
none,log,random,0.05,2,500,law_of_total_variance,CB,1,,FALSE,LS,random_interleave_iter,8,8,0.736789892891865,0,14,8
none,log,random,0.05,4,500,law_of_total_variance,CB,1,,FALSE,LS,random_interleave_iter,8,9,0.789915137221887,0,14,8
none,log,random,0.05,0,10,law_of_total_variance,CB,1,,FALSE,LS,trees,8,10,0.664762253868194,0,14,8
none,log,random,0.05,0,500,jack,CB,1,,FALSE,LS,variance_estimator,8,11,0.737875720168341,0,14,8
none,log,random,0.05,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,variance_estimator,8,12,0.767395426926775,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,PI,,,,LS,acqf,8,13,0.746303681328701,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,Mean,,,,LS,acqf,8,14,0.69158088070664,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,8,15,0.735296623783203,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,8,16,0.77374991514296,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,8,17,0.800587057163055,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,8,18,0.766608588360766,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,8,19,0.800205045502848,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,8,20,0.77954607123974,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,acqf,8,21,0.775726366949028,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,RS_1000,acqopt,8,22,0.547305027192479,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,RS,acqopt,8,23,0.60075435043347,0,14,8
