input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,CMAES,94,1,286
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,FALSE,CMAES,87,1,280
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,TRUE,,CMAES,104,1,284
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS,68,16,168
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LS,89,11,220
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,DIRECT,87,11,221
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LBFGSB,65,1,220
unitcube,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,65,1,190
none,log,sobol,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,67,1,199
none,log,lhs,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,62,0,206
none,log,lhs,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,59,1,184
none,log,lhs,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,38,1,111
none,log,lhs,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,48,1,145
none,log,lhs,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,CMAES,19,7,37
none,log,lhs,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,CMAES,18,7,39
none,log,lhs,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,CMAES,58,17,103
none,log,lhs,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,CMAES,58,23,102
none,log,lhs,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,15,9,23
none,log,lhs,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,16,8,22
none,log,lhs,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,45,18,75
none,log,lhs,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,45,18,76
none,log,lhs,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,15,8,22
none,log,lhs,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,15,8,22
none,log,lhs,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,51,18,123
none,log,lhs,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,54,16,138
none,log,lhs,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,CMAES,81,0,339
none,log,lhs,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,CMAES,117,0,327
none,log,lhs,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,CMAES,118,0,369
none,log,lhs,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,CMAES,99,2,214
none,log,lhs,0.25,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,CMAES,124,0,316
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,CMAES,120,0,304
none,log,lhs,0.25,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,CMAES,124,0,297
none,log,lhs,0.25,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,CMAES,100,2,204
none,log,lhs,0.25,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,CMAES,104,0,313
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,CMAES,118,0,342
none,log,lhs,0.25,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,CMAES,115,0,352
none,log,lhs,0.25,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,CMAES,100,1,238
none,log,lhs,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,CMAES,72,0,186
none,log,lhs,0.25,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,CMAES,73,0,213
none,log,lhs,0.25,0,gp,,,,exp,0,FALSE,EI,,FALSE,,CMAES,49,0,93
none,log,lhs,0.25,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,CMAES,64,0,155
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,CMAES,63,0,148
none,log,lhs,0.25,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,CMAES,65,0,166
none,log,lhs,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,CMAES,48,17,95
none,log,lhs,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,CMAES,79,0,163
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,68,0,175
none,log,lhs,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,CMAES,73,0,185
