input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
unitcube,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,71,0,125
none,none,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,58,0,109
none,standardize,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,54,0,102
none,log,random,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,67,0,161
none,log,sobol,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,68,0,165
none,log,lhs,0.05,2,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,35,0,81
none,log,lhs,0.05,4,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,46,0,101
none,log,lhs,0.05,0,rf,TRUE,10,jack,,,,EI,,FALSE,,CMAES,20,10,35
none,log,lhs,0.05,0,rf,FALSE,10,jack,,,,EI,,FALSE,,CMAES,20,11,35
none,log,lhs,0.05,0,rf,TRUE,500,jack,,,,EI,,FALSE,,CMAES,63,23,107
none,log,lhs,0.05,0,rf,FALSE,500,jack,,,,EI,,FALSE,,CMAES,65,25,105
none,log,lhs,0.05,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,18,11,26
none,log,lhs,0.05,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,19,10,26
none,log,lhs,0.05,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,53,22,85
none,log,lhs,0.05,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,53,21,87
none,log,lhs,0.05,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,17,10,24
none,log,lhs,0.05,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,18,10,25
none,log,lhs,0.05,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,55,20,97
none,log,lhs,0.05,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,57,19,120
none,log,lhs,0.05,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,CMAES,62,0,267
none,log,lhs,0.05,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,CMAES,114,0,372
none,log,lhs,0.05,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,CMAES,114,0,371
none,log,lhs,0.05,0,gp,,,,exp,0,TRUE,EI,,FALSE,,CMAES,111,37,269
none,log,lhs,0.05,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,CMAES,127,0,359
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,CMAES,120,0,377
none,log,lhs,0.05,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,CMAES,119,0,352
none,log,lhs,0.05,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,CMAES,103,1,204
none,log,lhs,0.05,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,CMAES,90,0,303
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,CMAES,128,0,381
none,log,lhs,0.05,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,CMAES,123,0,417
none,log,lhs,0.05,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,CMAES,117,1,258
none,log,lhs,0.05,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,CMAES,72,0,199
none,log,lhs,0.05,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,CMAES,75,0,208
none,log,lhs,0.05,0,gp,,,,exp,0,FALSE,EI,,FALSE,,CMAES,60,1,108
none,log,lhs,0.05,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,CMAES,63,0,159
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,CMAES,66,0,139
none,log,lhs,0.05,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,CMAES,66,0,154
none,log,lhs,0.05,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,CMAES,58,1,112
none,log,lhs,0.05,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,CMAES,85,0,158
none,log,lhs,0.05,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,CMAES,79,0,171
none,log,lhs,0.05,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,CMAES,59,14,111
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,PI,,,,CMAES,92,1,163
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,Mean,,,,CMAES,69,0,151
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,CB,1,,TRUE,CMAES,53,0,150
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,TRUE,CMAES,48,0,142
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,CB,10,,TRUE,CMAES,47,0,132
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,CB,1,,FALSE,CMAES,53,0,145
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,47,0,141
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,CB,10,,FALSE,CMAES,48,0,133
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,TRUE,,CMAES,63,0,134
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,RS_1000,61,12,124
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,RS,56,20,112
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,LS,66,19,124
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,DIRECT,70,23,129
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,LBFGSB,61,18,132
