input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,2,18,1.01729291527789,0,8,2
none,none,random,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,2,19,1.13018602326845,0,8,2
none,none,random,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,2,20,1.08998231754634,0,8,2
none,none,random,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,2,21,0.90820083101142,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,CMAES,surrogate,2,22,0.907363965934621,0,8,2
none,none,random,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,CMAES,surrogate,2,23,1.07588643254231,0,8,2
none,none,random,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,CMAES,surrogate,2,24,1.13273073608996,0,8,2
none,none,random,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,CMAES,surrogate,2,25,1.14261901504328,0,8,2
none,none,random,0.25,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,2,26,0.868903465260017,0,8,2
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,2,27,0.975081786102125,0,8,2
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,2,28,1.03848986904175,0,8,2
none,none,random,0.25,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,2,29,1.01148138273438,0,8,2
