algorithm,scenario,instance,runtime,dim,repl
optuna,rbv2_xgboost,1501,336,14,27
optuna,rbv2_xgboost,1501,214,14,28
optuna,rbv2_xgboost,1501,337,14,29
optuna,rbv2_xgboost,1501,200,14,30
optuna,rbv2_xgboost,16,198,14,1
optuna,rbv2_xgboost,16,198,14,2
optuna,rbv2_xgboost,16,196,14,3
optuna,rbv2_xgboost,16,198,14,4
optuna,rbv2_xgboost,16,468,14,5
optuna,rbv2_xgboost,16,197,14,6
optuna,rbv2_xgboost,16,674,14,7
optuna,rbv2_xgboost,16,198,14,8
optuna,rbv2_xgboost,16,197,14,9
optuna,rbv2_xgboost,16,197,14,10
optuna,rbv2_xgboost,16,198,14,11
optuna,rbv2_xgboost,16,195,14,12
optuna,rbv2_xgboost,16,196,14,13
optuna,rbv2_xgboost,16,196,14,14
optuna,rbv2_xgboost,16,195,14,15
optuna,rbv2_xgboost,16,196,14,16
optuna,rbv2_xgboost,16,193,14,17
optuna,rbv2_xgboost,16,193,14,18
optuna,rbv2_xgboost,16,162,14,19
optuna,rbv2_xgboost,16,161,14,20
optuna,rbv2_xgboost,16,161,14,21
optuna,rbv2_xgboost,16,161,14,22
optuna,rbv2_xgboost,16,465,14,23
optuna,rbv2_xgboost,16,162,14,24
optuna,rbv2_xgboost,16,676,14,25
optuna,rbv2_xgboost,16,161,14,26
optuna,rbv2_xgboost,16,574,14,27
optuna,rbv2_xgboost,16,163,14,28
optuna,rbv2_xgboost,16,162,14,29
optuna,rbv2_xgboost,16,161,14,30
optuna,rbv2_super,1457,307,38,1
optuna,rbv2_super,1457,245,38,2
optuna,rbv2_super,1457,243,38,3
optuna,rbv2_super,1457,246,38,4
optuna,rbv2_super,1457,244,38,5
optuna,rbv2_super,1457,245,38,6
optuna,rbv2_super,1457,245,38,7
optuna,rbv2_super,1457,246,38,8
optuna,rbv2_super,1457,246,38,9
optuna,rbv2_super,1457,258,38,10
optuna,rbv2_super,1457,244,38,11
optuna,rbv2_super,1457,257,38,12
optuna,rbv2_super,1457,757,38,13
optuna,rbv2_super,1457,257,38,14
optuna,rbv2_super,1457,659,38,15
optuna,rbv2_super,1457,254,38,16
optuna,rbv2_super,1457,586,38,17
optuna,rbv2_super,1457,255,38,18
optuna,rbv2_super,1457,246,38,19
optuna,rbv2_super,1457,253,38,20
optuna,rbv2_super,1457,245,38,21
optuna,rbv2_super,1457,252,38,22
optuna,rbv2_super,1457,265,38,23
optuna,rbv2_super,1457,252,38,24
optuna,rbv2_super,1457,262,38,25
optuna,rbv2_super,1457,252,38,26
optuna,rbv2_super,1457,264,38,27
optuna,rbv2_super,1457,251,38,28
optuna,rbv2_super,1457,582,38,29
optuna,rbv2_super,1457,251,38,30
optuna,rbv2_super,1063,758,38,1
optuna,rbv2_super,1063,250,38,2
optuna,rbv2_super,1063,657,38,3
optuna,rbv2_super,1063,250,38,4
optuna,rbv2_super,1063,262,38,5
