algorithm,fraction_budget,mean_meta_score,se_meta_score,mean_rank,se_rank
optuna,0.95,0.554830254418168,0.0640115332714989,2.5,0.173838373841279
optuna,0.96,0.558381824366115,0.064550653157325,2.5,0.173838373841279
optuna,0.97,0.560970922602144,0.0650148755147959,2.5,0.173838373841279
optuna,0.98,0.562996922547968,0.0650232245760122,2.5,0.173838373841279
optuna,0.99,0.565543904667448,0.0653086231913573,2.57142857142857,0.172705864236283
optuna,1,0.568595593005384,0.0654063796046487,2.5,0.173838373841279
smac4hpo,0,-11.7661345233277,2.65076258799821,2.14285714285714,0.231030725732183
smac4hpo,0.01,-10.7902120382853,2.67555115284237,2.07142857142857,0.245045089241514
smac4hpo,0.02,-4.07605064296443,1.04715007089781,1.42857142857143,0.172705864236283
smac4hpo,0.03,-2.8523849903235,0.790440380162419,1.42857142857143,0.172705864236283
smac4hpo,0.04,-1.99868538719405,0.485125642060491,1.35714285714286,0.169262876931312
smac4hpo,0.05,-1.60099071608868,0.364785545365956,1.42857142857143,0.172705864236283
smac4hpo,0.06,-1.49160367183426,0.359898365624925,1.85714285714286,0.205879054892255
smac4hpo,0.07,-1.28721595883096,0.298917446264002,1.78571428571429,0.186893970897747
smac4hpo,0.08,-1.18411792011493,0.303225892419845,1.92857142857143,0.195112976973239
smac4hpo,0.09,-1.13406857158995,0.296049213757239,2.21428571428571,0.186893970897747
smac4hpo,0.1,-1.02691499436421,0.247547654774799,2.14285714285714,0.205879054892255
smac4hpo,0.11,-0.932067727848028,0.206941325608764,2.35714285714286,0.132894358488438
smac4hpo,0.12,-0.867946615507918,0.208718216964131,2.28571428571429,0.125294002758147
smac4hpo,0.13,-0.811089447499932,0.166157371679867,2.35714285714286,0.132894358488438
smac4hpo,0.14,-0.772105039150774,0.162311857246246,2.35714285714286,0.132894358488438
smac4hpo,0.15,-0.706541775539756,0.131238798586966,2.35714285714286,0.132894358488438
smac4hpo,0.16,-0.624315929880455,0.0916638251104749,2.35714285714286,0.132894358488438
smac4hpo,0.17,-0.572750358984789,0.0595252676272787,2.35714285714286,0.132894358488438
smac4hpo,0.18,-0.541137025258165,0.0536660632607885,2.35714285714286,0.132894358488438
smac4hpo,0.19,-0.50870586933754,0.0475860117777386,2.28571428571429,0.125294002758147
smac4hpo,0.2,-0.487316780827313,0.0469111060614869,2.28571428571429,0.125294002758147
smac4hpo,0.21,-0.464093679939878,0.044458453267096,2.28571428571429,0.125294002758147
smac4hpo,0.22,-0.429716449926921,0.0308976828366871,2.35714285714286,0.132894358488438
smac4hpo,0.23,-0.41256242044429,0.0298227551194711,2.42857142857143,0.137252703261503
smac4hpo,0.24,-0.386147260098312,0.0262808760384336,2.35714285714286,0.132894358488438
smac4hpo,0.25,-0.371786201550086,0.0254982603849061,2.28571428571429,0.125294002758147
smac4hpo,0.26,-0.224415884143831,0.0267341701410606,2.28571428571429,0.125294002758147
smac4hpo,0.27,-0.17124397752539,0.0274408765121801,2.28571428571429,0.125294002758147
smac4hpo,0.28,-0.1218763997212,0.0292942222602376,2.35714285714286,0.132894358488438
smac4hpo,0.29,-0.0708636426276418,0.0284498163947072,2.28571428571429,0.125294002758147
smac4hpo,0.3,-0.0583838720177873,0.0294013764403063,2.42857142857143,0.137252703261503
smac4hpo,0.31,-0.0284471859314459,0.0311553705355737,2.42857142857143,0.172705864236283
smac4hpo,0.32,0.0263933240704172,0.0329367629254887,2.35714285714286,0.169262876931312
smac4hpo,0.33,0.0474477214747542,0.0350494212181619,2.42857142857143,0.202030508910442
smac4hpo,0.34,0.0997493337170363,0.0401059674574136,2.35714285714286,0.199095284966961
smac4hpo,0.35,0.122327429262912,0.0395286900211523,2.35714285714286,0.225006540982893
smac4hpo,0.36,0.148135758232033,0.0418406953353416,2.28571428571429,0.220602856042689
smac4hpo,0.37,0.164695851209541,0.0417186173181732,2.21428571428571,0.238552674132884
smac4hpo,0.38,0.191619798481155,0.043502868866876,2.35714285714286,0.225006540982893
smac4hpo,0.39,0.207764448666835,0.0454103934011811,2.21428571428571,0.238552674132884
smac4hpo,0.4,0.234163387656481,0.0491781898630476,2.21428571428571,0.238552674132884
smac4hpo,0.41,0.256238304196156,0.0505402644983528,2.07142857142857,0.245045089241514
smac4hpo,0.42,0.27540887623238,0.0523467558595691,2.07142857142857,0.245045089241514
smac4hpo,0.43,0.290040067885737,0.0542670867417715,2.21428571428571,0.214285714285714
smac4hpo,0.44,0.301969484996176,0.0550710733750341,2.21428571428571,0.214285714285714
smac4hpo,0.45,0.318463473948937,0.0570514462816187,2.14285714285714,0.205879054892255
smac4hpo,0.46,0.334317210855071,0.0591298498964064,2.14285714285714,0.205879054892255
smac4hpo,0.47,0.345325824270874,0.0589226248117311,2.21428571428571,0.186893970897747
smac4hpo,0.48,0.367053997587265,0.0608053410243051,2.07142857142857,0.221490597480729
