target,orig_direction,best,scenario,instance,target_variable,repl,iter
-47.592658996582,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,25
-72.4188690185547,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,26
-26.6186084747315,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,27
-44.1792716979981,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,28
-32.0582962036133,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,29
-34.4447364807129,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,30
-37.5405426025391,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,31
-28.4701976776123,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,32
-25.2888565063477,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,33
-25.6088275909424,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,34
-71.1211853027344,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,35
-64.2505493164063,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,36
-78.0876541137695,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,37
-25.6316471099854,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,38
-71.1624298095703,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,39
-69.8623428344727,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,40
-26.7732467651367,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,41
-47.8662223815918,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,42
-25.6758327484131,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,43
-31.1589107513428,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,44
-77.2371063232422,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,45
-64.3727264404297,maximize,-78.0876541137695,lcbench,167168,val_accuracy,1,46
-78.9162521362305,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,47
-73.5149765014648,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,48
-46.0260887145996,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,49
-53.6438369750977,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,50
-43.7422561645508,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,51
-25.0662269592285,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,52
-61.4389419555664,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,53
-52.0468673706055,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,54
-35.7195053100586,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,55
-76.088981628418,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,56
-37.320369720459,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,57
-60.0617485046387,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,58
-73.1754531860352,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,59
-54.9861869812012,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,60
-56.661018371582,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,61
-74.1455688476563,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,62
-48.0423851013184,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,63
-25.5083065032959,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,64
-33.2791290283203,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,65
-26.6683082580566,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,66
-45.4538726806641,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,67
-29.7704582214356,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,68
-55.8469772338867,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,69
-46.0374145507813,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,70
-75.9825286865234,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,71
-76.6632308959961,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,72
-27.6992530822754,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,73
-26.2268257141113,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,74
-24.7462368011475,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,75
-69.0567169189453,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,76
-37.099006652832,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,77
-74.041130065918,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,78
-33.3819923400879,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,79
-50.4958038330078,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,80
-35.9795455932617,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,81
-24.0227851867676,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,82
-55.2084503173828,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,83
-57.8995780944824,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,84
-74.3007278442383,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,85
-74.7690124511719,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,86
-52.918140411377,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,87
-27.2731952667236,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,88
-48.2786445617676,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,89
-60.9810562133789,maximize,-78.9162521362305,lcbench,167168,val_accuracy,1,90
-81.5892181396484,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,91
-46.3799095153809,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,92
-63.705451965332,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,93
-68.4735870361328,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,94
-37.1667900085449,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,95
-49.4508857727051,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,96
-42.6051063537598,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,97
-26.648120880127,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,98
-65.4180068969727,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,99
-61.1971969604492,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,100
-27.8550682067871,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,101
-44.8006744384766,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,102
-49.9179840087891,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,103
-78.7568664550781,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,104
-39.9747352600098,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,105
-43.4868698120117,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,106
-73.1587066650391,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,107
-52.0165977478027,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,108
-70.5050201416016,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,109
-32.9197845458984,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,110
