budget,d,id,runtime,y,problem
700,7,direct,1.786,17.3366354426099,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.142,26.3610811809251,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.226,14.5066778260895,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.41799999999999,6.94790210875826,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.125,26.6305911313884,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.81,11.3205973618616,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.929,42.9775361046002,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.604,4.67133635005704,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.15700000000001,28.1311191730763,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.336,13.6526650802815,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.64500000000001,2.03831525032424,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.28699999999999,16.3580523015192,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.01900000000001,13.8872564573458,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.39,9.22788386433209,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.624,3.61897629760307,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.22,21.3808208203508,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.372,8.03644113637589,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.884,17.4263019716441,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.52900000000001,13.5615945545535,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.78,26.9260735248715,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.455,9.29768105891962,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.02800000000001,7.76744650746788,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.354,11.6367583003563,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.53999999999999,8.05043224907876,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.51000000000001,6.55536532623757,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.429,3.64820947510634,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.947,6.54542206723755,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.508,8.67378867043939,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.935,12.7639992771224,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.59100000000001,4.14488012286656,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.886,11.8150885640464,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.965,3.68634168469611,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,2.16199999999999,4.36730408683171,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,direct,1.432,11.8411005088465,lcbench_167168_val_accuracy_eede6a63d2aad5e7
