config_id,acc,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,repl,trainsize
18,-0.09045536071062088,197.3606331404143,gbtree,4.5180490301221,22,impute.mean,0.6387362299487,0.0277878672071,0.8393430620339,0.6166112439653,0.0001588980461,15.0,125.6701416035858,,,10,1.0
19,-0.9512102007865906,4.5039459700985,dart,0.0164031221835,441,impute.mean,0.9794812820852,0.5782821568288,0.7118050170504,0.0511123926516,0.0031602909034,9.0,20.3734295226973,0.0717160683125,0.2436863146722,10,1.0
20,-0.9174240827560425,0.010410597304,gblinear,600.2995937060842,40,impute.median,0.5493925106712,,,,,,,,,10,1.0
21,-0.9398664832115173,0.0047289988218,dart,32.4404396304916,74,impute.median,0.2175771241076,0.7049787484203,0.5387869671267,0.0771033937264,0.000278973447,10.0,9.6600720028812,0.2054059794173,0.9946216437966,10,1.0
22,-0.6029963493347168,9.4682904931278,gblinear,0.9838857380487,170,impute.median,0.6784804135561,,,,,,,,,10,1.0
23,-0.3065381348133087,89.8018286513484,gbtree,83.7499860931981,8,impute.mean,0.8018051838502,0.9274163740501,0.2404878635146,0.0026112823385,3.5546946365546,5.0,66.6521737222534,,,10,1.0
24,-0.9672590494155884,0.2315625484676,gblinear,0.0022923808698,1513,impute.hist,0.3334315869026,,,,,,,,,10,1.0
25,-0.9522684812545776,0.6183085324508,dart,36.6929430676667,229,impute.mean,0.4414257179946,0.6717274567392,0.617282272689,0.1657242979037,0.7834453265479,13.0,3.4341030254768,0.5464835111052,0.5994709227234,10,1.0
26,-0.09731487184762955,33.5101201329855,gblinear,0.0010061187684,115,impute.hist,0.9047451161779,,,,,,,,,10,1.0
27,-0.8816119432449341,25.2814619870915,dart,12.7417922026543,2401,impute.median,0.5779539882205,0.9596386737935,0.1885804161523,0.0045081847041,6.29406478e-05,3.0,27.0665502380516,0.9735762961209,0.8882512003183,10,1.0
28,-0.5283266305923462,0.00176462981,gbtree,0.3870427162987,11,impute.mean,0.1071626195684,0.2477056025621,0.9923578434531,0.1895543436663,0.0389609108904,11.0,18.6559089943887,,,10,1.0
29,-0.9073135852813721,0.0278934408437,gbtree,0.0071870078198,28,impute.median,0.4257982211187,0.8330647039134,0.0870281498879,0.0012325353223,0.01432087477,3.0,7.7250596373658,,,10,1.0
30,-0.921756386756897,1.6864497670753,gbtree,263.4550217695672,1369,impute.hist,0.8640165082179,0.1190469677001,0.767011910826,0.688600514236,2.9118886278494,8.0,39.0422200772197,,,10,1.0
