algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-88.9353179931641,163
mlr3mbo,lcbench,167168,-89.374382019043,164
mlr3mbo,lcbench,167168,-87.7912826538086,165
mlr3mbo,lcbench,167168,-89.417350769043,166
mlr3mbo,lcbench,167168,-88.9919891357422,167
mlr3mbo,lcbench,167168,-88.1584243774414,168
mlr3mbo,lcbench,167168,-89.2313003540039,169
mlr3mbo,lcbench,167168,-88.5568313598633,170
mlr3mbo,lcbench,167168,-89.0697631835938,171
mlr3mbo,lcbench,167168,-89.0476837158203,172
mlr3mbo,lcbench,167168,-87.1173934936524,173
mlr3mbo,lcbench,167168,-89.3341598510742,174
mlr3mbo,lcbench,167168,-88.016960144043,175
mlr3mbo,lcbench,167168,-88.8932571411133,176
mlr3mbo,lcbench,167168,-89.1761779785156,177
mlr3mbo,lcbench,167168,-89.0826721191406,178
mlr3mbo,lcbench,167168,-87.81640625,179
mlr3mbo,lcbench,167168,-89.3996124267578,180
mlr3mbo,lcbench,167168,-89.3525619506836,181
mlr3mbo,lcbench,167168,-89.4142837524414,182
mlr3mbo,lcbench,167168,-88.4474411010742,183
mlr3mbo,lcbench,167168,-89.2081604003906,184
mlr3mbo,lcbench,167168,-89.338249206543,185
mlr3mbo,lcbench,167168,-88.0488586425781,186
mlr3mbo,lcbench,167168,-89.0612716674805,187
mlr3mbo,lcbench,167168,-89.0103225708008,188
mlr3mbo,lcbench,167168,-88.2620697021484,189
mlr3mbo,lcbench,167168,-89.3883590698242,190
mlr3mbo,lcbench,167168,-89.3150787353516,191
mlr3mbo,lcbench,167168,-88.6981506347656,192
mlr3mbo,lcbench,167168,-88.2997894287109,193
mlr3mbo,lcbench,167168,-88.501106262207,194
mlr3mbo,lcbench,167168,-89.3709716796875,195
mlr3mbo,lcbench,167168,-89.2364120483398,196
mlr3mbo,lcbench,167168,-89.3375701904297,197
mlr3mbo,lcbench,167168,-89.0660247802734,198
mlr3mbo,lcbench,167168,-88.9098739624023,199
mlr3mbo,lcbench,167168,-88.6477508544922,200
mlr3mbo,lcbench,167168,-89.194206237793,201
mlr3mbo,lcbench,167168,-88.8203811645508,202
mlr3mbo,lcbench,167168,-88.9085159301758,203
mlr3mbo,lcbench,167168,-86.9994964599609,204
mlr3mbo,lcbench,167168,-89.0544738769531,205
mlr3mbo,lcbench,167168,-89.0650100708008,206
mlr3mbo,lcbench,167168,-89.0425872802734,207
mlr3mbo,lcbench,167168,-88.9302291870117,208
mlr3mbo,lcbench,167168,-89.4020004272461,209
mlr3mbo,lcbench,167168,-88.7834548950195,210
mlr3mbo,lcbench,167168,-89.3832473754883,211
mlr3mbo,lcbench,167168,-87.5762100219727,212
mlr3mbo,lcbench,167168,-89.2786254882813,213
mlr3mbo,lcbench,167168,-88.8878326416016,214
mlr3mbo,lcbench,167168,-88.8268127441406,215
mlr3mbo,lcbench,167168,-89.1302642822266,216
mlr3mbo,lcbench,167168,-88.8915634155273,217
mlr3mbo,lcbench,167168,-87.6383666992188,218
mlr3mbo,lcbench,167168,-88.9665298461914,219
mlr3mbo,lcbench,167168,-88.7746505737305,220
mlr3mbo,lcbench,167168,-89.4245147705078,221
mlr3mbo,lcbench,167168,-88.7198104858399,222
mlr3mbo,lcbench,167168,-89.0147399902344,223
mlr3mbo,lcbench,167168,-89.2915725708008,224
mlr3mbo,lcbench,167168,-86.9766006469727,225
mlr3mbo,lcbench,167168,-89.3181457519531,226
mlr3mbo,lcbench,167168,-89.0707855224609,227
mlr3mbo,lcbench,167168,-88.2401885986328,228
mlr3mbo,lcbench,167168,-88.9641571044922,229
mlr3mbo,lcbench,167168,-88.9950408935547,230
mlr3mbo,lcbench,167168,-88.0465087890625,231
mlr3mbo,lcbench,167168,-88.3213424682617,232
mlr3mbo,lcbench,167168,-88.3277435302735,233
mlr3mbo,lcbench,167168,-88.6548461914063,234
mlr3mbo,lcbench,167168,-88.6406478881836,235
mlr3mbo,lcbench,167168,-89.0694274902344,236
