algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.269775390625,203
mlr3mbo,lcbench,167168,-89.274543762207,204
mlr3mbo,lcbench,167168,-89.2541122436523,205
mlr3mbo,lcbench,167168,-89.2748870849609,206
mlr3mbo,lcbench,167168,-89.4262161254883,207
mlr3mbo,lcbench,167168,-89.4262161254883,208
mlr3mbo,lcbench,167168,-89.2738647460938,209
mlr3mbo,lcbench,167168,-89.4262161254883,210
mlr3mbo,lcbench,167168,-89.261604309082,211
mlr3mbo,lcbench,167168,-89.2684097290039,212
mlr3mbo,lcbench,167168,-89.4258804321289,213
mlr3mbo,lcbench,167168,-89.2759017944336,214
mlr3mbo,lcbench,167168,-89.4163284301758,215
mlr3mbo,lcbench,167168,-89.2129211425781,216
mlr3mbo,lcbench,167168,-86.1126251220703,217
mlr3mbo,lcbench,167168,-89.2738647460938,218
mlr3mbo,lcbench,167168,-88.0266952514648,219
mlr3mbo,lcbench,167168,-89.2759017944336,220
mlr3mbo,lcbench,167168,-89.2752227783203,221
mlr3mbo,lcbench,167168,-89.2755661010742,222
mlr3mbo,lcbench,167168,-89.2673873901367,223
mlr3mbo,lcbench,167168,-89.2704544067383,224
mlr3mbo,lcbench,167168,-89.269775390625,225
mlr3mbo,lcbench,167168,-89.425537109375,226
mlr3mbo,lcbench,167168,-89.4265594482422,227
mlr3mbo,lcbench,167168,-89.273178100586,228
mlr3mbo,lcbench,167168,-89.2718200683594,229
mlr3mbo,lcbench,167168,-86.1126251220703,230
mlr3mbo,lcbench,167168,-89.4224624633789,231
mlr3mbo,lcbench,167168,-89.274543762207,232
mlr3mbo,lcbench,167168,-89.4262161254883,233
mlr3mbo,lcbench,167168,-89.2687530517578,234
mlr3mbo,lcbench,167168,-89.2687530517578,235
mlr3mbo,lcbench,167168,-89.4265594482422,236
mlr3mbo,lcbench,167168,-89.2762451171875,237
mlr3mbo,lcbench,167168,-89.2759017944336,238
mlr3mbo,lcbench,167168,-89.2701187133789,239
mlr3mbo,lcbench,167168,-89.2738647460938,240
mlr3mbo,lcbench,167168,-88.9220809936523,241
mlr3mbo,lcbench,167168,-89.4265594482422,242
mlr3mbo,lcbench,167168,-89.4262161254883,243
mlr3mbo,lcbench,167168,-89.2742004394531,244
mlr3mbo,lcbench,167168,-86.1119689941406,245
mlr3mbo,lcbench,167168,-89.4262161254883,246
mlr3mbo,lcbench,167168,-89.4262161254883,247
mlr3mbo,lcbench,167168,-89.2551345825195,248
mlr3mbo,lcbench,167168,-89.4221267700195,249
mlr3mbo,lcbench,167168,-89.273178100586,250
mlr3mbo,lcbench,167168,-89.2677307128906,251
mlr3mbo,lcbench,167168,-89.269775390625,252
mlr3mbo,lcbench,167168,-89.2381134033203,253
mlr3mbo,lcbench,167168,-89.273178100586,254
mlr3mbo,lcbench,167168,-89.2704544067383,255
mlr3mbo,lcbench,167168,-89.173454284668,256
mlr3mbo,lcbench,167168,-89.4262161254883,257
mlr3mbo,lcbench,167168,-89.4262161254883,258
mlr3mbo,lcbench,167168,-86.1126251220703,259
mlr3mbo,lcbench,167168,-89.1278839111328,260
mlr3mbo,lcbench,167168,-89.265007019043,261
mlr3mbo,lcbench,167168,-89.4228057861328,262
mlr3mbo,lcbench,167168,-89.4258804321289,263
mlr3mbo,lcbench,167168,-89.0150756835938,264
mlr3mbo,lcbench,167168,-89.2673873901367,265
mlr3mbo,lcbench,167168,-89.2639846801758,266
mlr3mbo,lcbench,167168,-89.2721633911133,267
mlr3mbo,lcbench,167168,-89.2636489868164,268
mlr3mbo,lcbench,167168,-89.2752227783203,269
mlr3mbo,lcbench,167168,-89.2718200683594,270
mlr3mbo,lcbench,167168,-89.2394714355469,271
mlr3mbo,lcbench,167168,-89.2718200683594,272
mlr3mbo,lcbench,167168,-89.2721633911133,273
mlr3mbo,lcbench,167168,-89.4248580932617,274
mlr3mbo,lcbench,167168,-89.2724990844727,275
mlr3mbo,lcbench,167168,-89.2711410522461,276
mlr3mbo,lcbench,167168,-89.2724990844727,277
mlr3mbo,lcbench,167168,-89.2231369018555,278
mlr3mbo,lcbench,167168,-89.2680740356445,279
mlr3mbo,lcbench,167168,-89.2738647460938,280
mlr3mbo,lcbench,167168,-89.4258804321289,281
mlr3mbo,lcbench,167168,-89.2718200683594,282
mlr3mbo,lcbench,167168,-89.273178100586,283
mlr3mbo,lcbench,167168,-89.4262161254883,284
mlr3mbo,lcbench,167168,-89.2575149536133,285
mlr3mbo,lcbench,167168,-89.4262161254883,286
mlr3mbo,lcbench,167168,-89.2605819702149,287
mlr3mbo,lcbench,167168,-89.248664855957,288
mlr3mbo,lcbench,167168,-88.8430862426758,289
mlr3mbo,lcbench,167168,-89.273178100586,290
mlr3mbo,lcbench,167168,-89.4262161254883,291
mlr3mbo,lcbench,167168,-89.4265594482422,292
mlr3mbo,lcbench,167168,-89.4248580932617,293
mlr3mbo,lcbench,167168,-89.2752227783203,294
mlr3mbo,lcbench,167168,-89.2707977294922,295
mlr3mbo,lcbench,167168,-89.239128112793,296
mlr3mbo,lcbench,167168,-89.2711410522461,297
mlr3mbo,lcbench,167168,-89.4262161254883,298
mlr3mbo,lcbench,167168,-89.273178100586,299
mlr3mbo,lcbench,167168,-89.2701187133789,300
mlr3mbo,lcbench,167168,-89.2670516967774,301
mlr3mbo,lcbench,167168,-89.2738647460938,302
mlr3mbo,lcbench,167168,-89.4262161254883,303
mlr3mbo,lcbench,167168,-89.2721633911133,304
mlr3mbo,lcbench,167168,-89.2707977294922,305
mlr3mbo,lcbench,167168,-89.274543762207,306
mlr3mbo,lcbench,167168,-89.4262161254883,307
mlr3mbo,lcbench,167168,-89.2711410522461,308
mlr3mbo,lcbench,167168,-88.9733200073242,309
mlr3mbo,lcbench,167168,-89.2673873901367,310
mlr3mbo,lcbench,167168,-86.1122970581055,311
mlr3mbo,lcbench,167168,-89.2724990844727,312
mlr3mbo,lcbench,167168,-89.0031890869141,313
mlr3mbo,lcbench,167168,-89.2551345825195,314
mlr3mbo,lcbench,167168,-89.4262161254883,315
mlr3mbo,lcbench,167168,-89.261604309082,316
mlr3mbo,lcbench,167168,-89.4217834472656,317
mlr3mbo,lcbench,167168,-89.4262161254883,318
mlr3mbo,lcbench,167168,-89.425537109375,319
mlr3mbo,lcbench,167168,-89.2633056640625,320
mlr3mbo,lcbench,167168,-89.2636489868164,321
mlr3mbo,lcbench,167168,-89.4262161254883,322
mlr3mbo,lcbench,167168,-89.2646713256836,323
mlr3mbo,lcbench,167168,-89.4265594482422,324
mlr3mbo,lcbench,167168,-89.2762451171875,325
mlr3mbo,lcbench,167168,-89.261604309082,326
mlr3mbo,lcbench,167168,-89.4265594482422,327
mlr3mbo,lcbench,167168,-89.2718200683594,328
mlr3mbo,lcbench,167168,-89.2724990844727,329
mlr3mbo,lcbench,167168,-86.6365203857422,330
mlr3mbo,lcbench,167168,-89.2701187133789,331
mlr3mbo,lcbench,167168,-89.2660293579102,332
mlr3mbo,lcbench,167168,-89.2602386474609,333
mlr3mbo,lcbench,167168,-89.2738647460938,334
mlr3mbo,lcbench,167168,-89.2551345825195,335
mlr3mbo,lcbench,167168,-89.274543762207,336
mlr3mbo,lcbench,167168,-89.2714767456055,337
mlr3mbo,lcbench,167168,-89.4262161254883,338
mlr3mbo,lcbench,167168,-89.2558135986328,339
mlr3mbo,lcbench,167168,-89.2636489868164,340
mlr3mbo,lcbench,167168,-86.1126251220703,341
mlr3mbo,lcbench,167168,-89.2578582763672,342
mlr3mbo,lcbench,167168,-89.4262161254883,343
mlr3mbo,lcbench,167168,-89.2578582763672,344
mlr3mbo,lcbench,167168,-89.265007019043,345
mlr3mbo,lcbench,167168,-89.4262161254883,346
mlr3mbo,lcbench,167168,-89.2721633911133,347
mlr3mbo,lcbench,167168,-89.2714767456055,348
mlr3mbo,lcbench,167168,-89.274543762207,349
mlr3mbo,lcbench,167168,-89.4262161254883,350
mlr3mbo,lcbench,167168,-89.2724990844727,351
mlr3mbo,lcbench,167168,-89.2694320678711,352
mlr3mbo,lcbench,167168,-89.2701187133789,353
mlr3mbo,lcbench,167168,-89.2742004394531,354
mlr3mbo,lcbench,167168,-89.4258804321289,355
mlr3mbo,lcbench,167168,-89.4262161254883,356
mlr3mbo,lcbench,167168,-89.0561752319336,357
mlr3mbo,lcbench,167168,-89.2721633911133,358
mlr3mbo,lcbench,167168,-86.1126251220703,359
mlr3mbo,lcbench,167168,-86.1126251220703,360
mlr3mbo,lcbench,167168,-89.2742004394531,361
mlr3mbo,lcbench,167168,-89.274543762207,362
mlr3mbo,lcbench,167168,-89.2735214233399,363
mlr3mbo,lcbench,167168,-89.2755661010742,364
mlr3mbo,lcbench,167168,-89.2701187133789,365
mlr3mbo,lcbench,167168,-89.2694320678711,366
mlr3mbo,lcbench,167168,-89.4265594482422,367
mlr3mbo,lcbench,167168,-89.2748870849609,368
mlr3mbo,lcbench,167168,-89.2735214233399,369
mlr3mbo,lcbench,167168,-89.2714767456055,370
mlr3mbo,lcbench,167168,-89.274543762207,371
mlr3mbo,lcbench,167168,-89.2752227783203,372
mlr3mbo,lcbench,167168,-89.4262161254883,373
mlr3mbo,lcbench,167168,-89.2472991943359,374
mlr3mbo,lcbench,167168,-86.1122970581055,375
mlr3mbo,lcbench,167168,-89.2626266479492,376
mlr3mbo,lcbench,167168,-89.4265594482422,377
mlr3mbo,lcbench,167168,-89.2711410522461,378
mlr3mbo,lcbench,167168,-86.7903366088867,379
mlr3mbo,lcbench,167168,-89.4265594482422,380
mlr3mbo,lcbench,167168,-89.2190475463867,381
mlr3mbo,lcbench,167168,-89.4262161254883,382
mlr3mbo,lcbench,167168,-89.2721633911133,383
mlr3mbo,lcbench,167168,-89.2633056640625,384
mlr3mbo,lcbench,167168,-89.2738647460938,385
mlr3mbo,lcbench,167168,-89.3668823242188,386
mlr3mbo,lcbench,167168,-89.2742004394531,387
