problem,instance,scenario,target,score
rbv2_svm_1457_logloss,1457,rbv2_svm,logloss,1.08758306503296
rbv2_svm_11_acc,11,rbv2_svm,acc,0.985017657279968
rbv2_svm_11_bac,11,rbv2_svm,bac,0.952868103981018
rbv2_svm_11_auc,11,rbv2_svm,auc,0.997247695922852
rbv2_svm_11_logloss,11,rbv2_svm,logloss,0.0841462686657906
rbv2_svm_1462_acc,1462,rbv2_svm,acc,0.999742865562439
rbv2_svm_1462_bac,1462,rbv2_svm,bac,0.997624337673187
rbv2_svm_1462_auc,1462,rbv2_svm,auc,0.999990463256836
rbv2_svm_1462_logloss,1462,rbv2_svm,logloss,0.00428603077307344
rbv2_svm_41142_acc,41142,rbv2_svm,acc,0.73302572965622
rbv2_svm_41142_bac,41142,rbv2_svm,bac,0.783624053001404
rbv2_svm_41142_auc,41142,rbv2_svm,auc,0.899051666259766
rbv2_svm_41142_logloss,41142,rbv2_svm,logloss,0.381699502468109
rbv2_svm_40701_acc,40701,rbv2_svm,acc,0.925240755081177
rbv2_svm_40701_bac,40701,rbv2_svm,bac,0.761721074581146
rbv2_svm_40701_auc,40701,rbv2_svm,auc,0.930287301540375
rbv2_svm_40701_logloss,40701,rbv2_svm,logloss,0.21773761510849
rbv2_svm_29_acc,29,rbv2_svm,acc,0.896845817565918
rbv2_svm_29_bac,29,rbv2_svm,bac,0.922220647335052
rbv2_svm_29_auc,29,rbv2_svm,auc,0.989994823932648
rbv2_svm_29_logloss,29,rbv2_svm,logloss,0.291597425937653
rbv2_svm_37_acc,37,rbv2_svm,acc,0.744986295700073
rbv2_svm_37_bac,37,rbv2_svm,bac,0.728267252445221
rbv2_svm_37_auc,37,rbv2_svm,auc,0.87681919336319
rbv2_svm_37_logloss,37,rbv2_svm,logloss,0.5103440284729
rbv2_svm_23381_acc,23381,rbv2_svm,acc,0.664530277252197
rbv2_svm_23381_bac,23381,rbv2_svm,bac,0.65165388584137
rbv2_svm_23381_auc,23381,rbv2_svm,auc,0.758580625057221
rbv2_svm_23381_logloss,23381,rbv2_svm,logloss,0.593602001667023
rbv2_svm_188_acc,188,rbv2_svm,acc,0.729035496711731
rbv2_svm_188_bac,188,rbv2_svm,bac,0.750336647033691
rbv2_svm_188_auc,188,rbv2_svm,auc,0.982577323913574
rbv2_svm_188_logloss,188,rbv2_svm,logloss,0.691286683082581
rbv2_svm_41143_acc,41143,rbv2_svm,acc,0.826454997062683
rbv2_svm_41143_bac,41143,rbv2_svm,bac,0.879668593406677
rbv2_svm_41143_auc,41143,rbv2_svm,auc,0.953602612018585
rbv2_svm_41143_logloss,41143,rbv2_svm,logloss,0.40323680639267
rbv2_svm_1063_acc,1063,rbv2_svm,acc,0.840382099151611
rbv2_svm_1063_bac,1063,rbv2_svm,bac,0.70530366897583
rbv2_svm_1063_auc,1063,rbv2_svm,auc,0.830778241157532
rbv2_svm_1063_logloss,1063,rbv2_svm,logloss,0.408556967973709
rbv2_svm_3_acc,3,rbv2_svm,acc,0.998153448104858
rbv2_svm_3_bac,3,rbv2_svm,bac,0.992108166217804
