job_id,problem,instance,scenario,target,mean_score,sd_score
161,rbv2_svm_1461_acc,1461,rbv2_svm,acc,-0.91506308400631,0.00426331119254776
162,rbv2_svm_1461_bac,1461,rbv2_svm,bac,-0.657928419733048,0.00928365738332479
163,rbv2_svm_1461_auc,1461,rbv2_svm,auc,-0.874408451795578,0.0118286601113519
164,rbv2_svm_1461_logloss,1461,rbv2_svm,logloss,0.254550287795067,0.00519520560256158
165,rbv2_svm_41162_acc,41162,rbv2_svm,acc,-0.922579938781261,0.00433629486929657
166,rbv2_svm_41162_bac,41162,rbv2_svm,bac,-0.66590600206852,0.0111175306269807
167,rbv2_svm_41162_auc,41162,rbv2_svm,auc,-0.840950861823559,0.00471720895256719
168,rbv2_svm_41162_logloss,41162,rbv2_svm,logloss,0.239235811880231,0.00738812477464308
169,rbv2_svm_6_acc,6,rbv2_svm,acc,-0.97611301959753,0.0034828754831166
170,rbv2_svm_6_bac,6,rbv2_svm,bac,-0.974228044807911,0.00352495507862451
171,rbv2_svm_6_auc,6,rbv2_svm,auc,-0.996931435596943,0.000584466004231759
172,rbv2_svm_6_logloss,6,rbv2_svm,logloss,0.131518881812692,0.0152047756747662
173,rbv2_svm_14_acc,14,rbv2_svm,acc,-0.828933701109886,0.00317577179604773
174,rbv2_svm_14_bac,14,rbv2_svm,bac,-0.862873371124268,0.00750478029028374
175,rbv2_svm_14_auc,14,rbv2_svm,auc,-0.986219026875496,0.00231663259159237
176,rbv2_svm_14_logloss,14,rbv2_svm,logloss,0.423970156776905,0.0159898674981342
177,rbv2_svm_1494_acc,1494,rbv2_svm,acc,-0.87982212240696,0.00267162571864484
178,rbv2_svm_1494_bac,1494,rbv2_svm,bac,-0.886804029357433,0.00479672749043972
179,rbv2_svm_1494_auc,1494,rbv2_svm,auc,-0.976645897865295,0.00163984016026736
180,rbv2_svm_1494_logloss,1494,rbv2_svm,logloss,0.319860193365812,0.00594360536777114
181,rbv2_svm_54_acc,54,rbv2_svm,acc,-0.819109838604927,0.00590958741794801
182,rbv2_svm_54_bac,54,rbv2_svm,bac,-0.843539670789242,0.00834566108635189
183,rbv2_svm_54_auc,54,rbv2_svm,auc,-0.985197163200379,0.0026989136392873
184,rbv2_svm_54_logloss,54,rbv2_svm,logloss,0.360791944020987,0.0229747578872459
185,rbv2_svm_375_acc,375,rbv2_svm,acc,-0.996097424697876,0.000795888829721078
186,rbv2_svm_375_bac,375,rbv2_svm,bac,-0.995029034614563,0.000973428313581481
187,rbv2_svm_375_auc,375,rbv2_svm,auc,-0.999828025639057,4.07080005790887e-05
188,rbv2_svm_375_logloss,375,rbv2_svm,logloss,0.0216893476102501,0.00366328434425429
189,rbv2_svm_1590_acc,1590,rbv2_svm,acc,-0.870213590431213,0.00214906871346309
190,rbv2_svm_1590_bac,1590,rbv2_svm,bac,-0.753023120820522,0.00775058525135173
191,rbv2_svm_1590_auc,1590,rbv2_svm,auc,-0.914032493853569,0.000905575775564978
192,rbv2_svm_1590_logloss,1590,rbv2_svm,logloss,0.300461610555649,0.00145598410118248
193,rbv2_svm_23_acc,23,rbv2_svm,acc,-0.622985333824158,0.00344955360350944
194,rbv2_svm_23_bac,23,rbv2_svm,bac,-0.589872232651711,0.00852737510674618
195,rbv2_svm_23_auc,23,rbv2_svm,auc,-0.819982071304321,0.0161293271761405
196,rbv2_svm_23_logloss,23,rbv2_svm,logloss,0.849884875202179,0.00903968862782255
197,rbv2_svm_41163_acc,41163,rbv2_svm,acc,-0.987663428926468,0.00173414053043188
198,rbv2_svm_41163_bac,41163,rbv2_svm,bac,-0.987601966130734,0.0044963158049827
199,rbv2_svm_41163_auc,41163,rbv2_svm,auc,-0.998956782305241,0.000586661671567846
200,rbv2_svm_41163_logloss,41163,rbv2_svm,logloss,0.0483037696260959,0.00851540868092153
201,rbv2_svm_1111_acc,1111,rbv2_svm,acc,-0.988542595469952,0.00101983839375793
202,rbv2_svm_1111_bac,1111,rbv2_svm,bac,-0.876630350208283,0.0133730640354993
203,rbv2_svm_1111_auc,1111,rbv2_svm,auc,-0.961852812826633,0.0042527044900184
204,rbv2_svm_1111_logloss,1111,rbv2_svm,logloss,0.0428187127865851,0.00267951107470631
205,rbv2_svm_41027_acc,41027,rbv2_svm,acc,-0.861953746044636,0.00731871406279851
206,rbv2_svm_41027_bac,41027,rbv2_svm,bac,-0.835290521073341,0.00796693588758976
207,rbv2_svm_41027_auc,41027,rbv2_svm,auc,-0.960636951708794,0.00304770903135301
208,rbv2_svm_41027_logloss,41027,rbv2_svm,logloss,0.372185568529368,0.0138498641336093
209,rbv2_svm_40668_acc,40668,rbv2_svm,acc,-0.874864262223244,0.0136074968905851
210,rbv2_svm_40668_bac,40668,rbv2_svm,bac,-0.742791880512238,0.0270676260115354
211,rbv2_svm_40668_auc,40668,rbv2_svm,auc,-0.935046180510521,0.00283776386481042
212,rbv2_svm_40668_logloss,40668,rbv2_svm,logloss,0.356478767001629,0.0143146168229225
213,rbv2_svm_41138_acc,41138,rbv2_svm,acc,-0.991595665049553,0.00036135728115921
214,rbv2_svm_41138_bac,41138,rbv2_svm,bac,-0.89739429602623,0.00878467960937381
215,rbv2_svm_41138_auc,41138,rbv2_svm,auc,-0.988904421508312,0.00132811107915027
216,rbv2_svm_41138_logloss,41138,rbv2_svm,logloss,0.0489049028597772,0.00156466393923038
217,rbv2_svm_4135_acc,4135,rbv2_svm,acc,-0.953279428386688,0.00100434328642725
218,rbv2_svm_4135_bac,4135,rbv2_svm,bac,-0.568674403989315,0.00547272945934131
219,rbv2_svm_4135_auc,4135,rbv2_svm,auc,-0.664374386894703,0.0263613238158484
220,rbv2_svm_4135_logloss,4135,rbv2_svm,logloss,0.192141551998258,0.00626363061770594
221,rbv2_svm_4538_acc,4538,rbv2_svm,acc,-0.576920936834812,0.0061873206316362
222,rbv2_svm_4538_bac,4538,rbv2_svm,bac,-0.511495025718212,0.0078775185531496
223,rbv2_svm_4538_auc,4538,rbv2_svm,auc,-0.818469929885864,0.00689427238431181
224,rbv2_svm_4538_logloss,4538,rbv2_svm,logloss,1.03249493038654,0.0171287766451052
225,rbv2_svm_40496_acc,40496,rbv2_svm,acc,-0.790666681361198,0.00104651436430912
226,rbv2_svm_40496_bac,40496,rbv2_svm,bac,-0.835324719560146,0.0139102840127183
227,rbv2_svm_40496_auc,40496,rbv2_svm,auc,-0.982563764548302,0.0029318691155666
228,rbv2_svm_40496_logloss,40496,rbv2_svm,logloss,0.829443789041042,0.00702214623774915
229,rbv2_svm_4534_acc,4534,rbv2_svm,acc,-0.973967828297615,0.00141924868122134
