job_id,problem,instance,scenario,target,score,quantiles_001,quantiles_01,quantiles_05,quantiles_10,quantiles_20
2034,rbv2_xgboost_41142_bac,41142,rbv2_xgboost,bac,-0.761570751667023,-0.744325578868389,-0.735953400731087,-0.726423466205597,-0.720444738864899,-0.714307367801666
2035,rbv2_xgboost_41142_auc,41142,rbv2_xgboost,auc,-0.873006105422974,-0.83249294757843,-0.816177785396576,-0.806012350320816,-0.80102527141571,-0.793769061565399
2036,rbv2_xgboost_41142_logloss,41142,rbv2_xgboost,logloss,0.436275213956833,0.480569030642509,0.501996871829033,0.526025891304016,0.541247189044952,0.56106036901474
2037,rbv2_xgboost_38_acc,38,rbv2_xgboost,acc,-0.995497405529022,-0.992393970489502,-0.990147829055786,-0.984836399555206,-0.976887166500092,-0.955388605594635
2038,rbv2_xgboost_38_bac,38,rbv2_xgboost,bac,-0.96082204580307,-0.934408730626106,-0.919994002580643,-0.88709557056427,-0.8276282787323,-0.538721871376038
2039,rbv2_xgboost_38_auc,38,rbv2_xgboost,auc,-0.995465099811554,-0.990330994129181,-0.987933099269867,-0.98215389251709,-0.972347676753998,-0.923948216438293
2040,rbv2_xgboost_38_logloss,38,rbv2_xgboost,logloss,0.0495219938457012,0.0623454973101616,0.074778288602829,0.102522633969784,0.1425691395998,0.204023599624634
2041,rbv2_xgboost_1050_acc,1050,rbv2_xgboost,acc,-0.926950395107269,-0.914107147336006,-0.908267617225647,-0.902856230735779,-0.89965033531189,-0.895430445671082
2042,rbv2_xgboost_1050_bac,1050,rbv2_xgboost,bac,-0.618537366390228,-0.586889448463917,-0.570798528194428,-0.54435860812664,-0.526861882209778,-0.508127474784851
2043,rbv2_xgboost_1050_auc,1050,rbv2_xgboost,auc,-0.893407166004181,-0.847695661604405,-0.832624733448029,-0.813769936561585,-0.799531227350235,-0.770376682281494
2044,rbv2_xgboost_1050_logloss,1050,rbv2_xgboost,logloss,0.227907806634903,0.273167252540588,0.282031068205833,0.291268199682236,0.299883517622948,0.314939141273499
2045,rbv2_xgboost_469_acc,469,rbv2_xgboost,acc,-0.500279247760773,-0.325823173701763,-0.255772728323937,-0.212428784370422,-0.203625181317329,-0.195590034127235
2046,rbv2_xgboost_469_bac,469,rbv2_xgboost,bac,-0.277510285377502,-0.239920570641756,-0.224218129366636,-0.205334071069956,-0.192815139889717,-0.178572952747345
2047,rbv2_xgboost_469_auc,469,rbv2_xgboost,auc,-0.830947816371918,-0.668135012865067,-0.614643156528473,-0.593339860439301,-0.576429963111877,-0.556536078453064
