booster,nrounds,eta,gamma,lambda,alpha,subsample,max_depth,min_child_weight,colsample_bytree,colsample_bylevel,rate_drop,skip_drop,num.impute.selected.cpo,acc
gblinear,7.51871180720627,,,-4.73324294234278,-0.95943758196781,0.337888020834395,,,,,,,impute.median,0.959865391254425
gblinear,5.78077144937535,,,-5.74954476094192,-4.78127957091378,0.349564696268061,,,,,,,impute.mean,0.976969182491302
gblinear,7.71670598452128,,,-3.73818114382298,-4.96107260647148,0.315073416562705,,,,,,,impute.median,0.982028365135193
gblinear,7.73300542046967,,,3.33263190370053,-4.71882228263711,0.3100480464414,,,,,,,impute.median,0.967810809612274
gblinear,5.95010287177688,,,-3.49757788306062,-3.6490866788663,0.309036028994722,,,,,,,impute.median,0.977992713451385
gblinear,7.71696744029396,,,-4.52463394840847,-5.54222549540426,0.309735663223933,,,,,,,impute.median,0.982785403728485
gblinear,5.57379212684487,,,-2.39930280253141,-5.40691651973469,0.321836283809721,,,,,,,impute.median,0.98008793592453
gblinear,5.41642903454359,,,-3.70477668754756,-5.0233410336706,0.305789585304876,,,,,,,impute.median,0.980742394924164
gblinear,6.3031196220745,,,-7,-0.873549585623364,0.327924126456492,,,,,,,impute.median,0.956192553043365
gblinear,8,,,-4.59224117138828,-0.670051245362961,0.394661976524881,,,,,,,impute.median,0.950430393218994
gblinear,5.4453318783376,,,-4.51506519398169,-6.75374856521923,0.311405088401901,,,,,,,impute.median,0.982716023921967
gblinear,5.9107210811224,,,-4.97741719054544,-5.30187932591386,0.304536310746335,,,,,,,impute.median,0.98057222366333
gblinear,5.42865077753893,,,-1.56887254677713,-5.66406634465707,0.316976580476489,,,,,,,impute.median,0.979349792003632
gblinear,7.55211328463405,,,-4.83536670562268,-6.54872719670904,0.30736562597517,,,,,,,impute.median,0.984167873859406
gblinear,7.4216405238873,,,-1.35099431959988,-6.19632555021198,0.313170245841319,,,,,,,impute.median,0.983134090900421
dart,5.41679122905677,,,-4.28095912578531,-7,0.341536901116793,,,,,0.270065556513146,0,impute.median,1
gblinear,6.373068517604,,,-2.6565332235962,-6.1146851725676,0.30385165557426,,,,,,,impute.median,0.980072975158691
gblinear,7.14920387067292,,,-1.76033546667997,-2.74910205225979,0.846973159916994,,,,,,,impute.median,0.977248728275299
gblinear,7.43124615380097,,,-2.09774001655858,-6.31800797678923,0.303670070673055,,,,,,,impute.median,0.98382443189621
gblinear,5.34590194305873,,,-4.07749597561451,-7,0.324844007543288,,,,,,,impute.mean,0.980783581733704
gblinear,5.50233189480492,,,-1.60562020522195,-7,0.30024417484007,,,,,,,impute.median,0.981133460998535
dart,5.47029394726484,,,-4.23366199468146,-7,0.312411843394699,,,,,0.29482522723265,0.0984660882968456,impute.median,1
gblinear,6.01769588885464,,,-4.47216726258929,-0.579496833487424,0.529280053067797,,,,,,,impute.median,0.952085077762604
gblinear,5.24662137097029,,,-4.18653837699445,-7,0.341543241976643,,,,,,,impute.mean,0.980527341365814
gblinear,5.43587858987645,,,-1.56633410099384,-6.89472893485799,0.298521368926017,,,,,,,impute.median,0.980989396572113
gblinear,7.59752841421266,,,-1.20168530155035,-7,0.424422273631711,,,,,,,impute.median,0.98304408788681
gblinear,5.51824718447318,,,-4.73500307283084,-7,0.29195229697578,,,,,,,impute.median,0.983164131641388
gblinear,7.46626292395002,,,-1.59018563271557,-7,0.296513647173832,,,,,,,impute.median,0.984340608119965
gblinear,7.42817777749022,,,-1.69063259795108,-7,0.29701426612984,,,,,,,impute.median,0.984338700771332
gblinear,7.66277312927923,,,-4.38577249703109,-7,0.313279270145354,,,,,,,impute.hist,0.983648061752319
gblinear,5.40211427990222,,,-4.35582784393716,-7,0.276846261387706,,,,,,,impute.median,0.983177244663239
gblinear,6.10158185896176,,,-4.32210642861789,-7,0.284353233487573,,,,,,,impute.median,0.982596099376678
dart,5.66118290245847,,,-6.09944055634258,-6.98996613202159,0.272276580656998,,,,,0.0582732333936421,0,impute.median,1
dart,5.3115919789192,,,-5.85621553849678,-4.45800883035457,0.808669316093437,,,,,0.151909336078541,0.079739727859484,impute.median,1
gblinear,5.36231088673552,,,-7,-6.98057550037427,0.26910023918185,,,,,,,impute.median,0.981112897396088
gblinear,5.30673327795552,,,-4.4286710256522,-7,0.402137679745512,,,,,,,impute.mean,0.980291724205017
dart,7.55519813559906,,,-6.0320084217102,-7,0.444548434693769,,,,,0.144320844538984,0.0218449945728371,impute.median,1
gblinear,5.26088572061426,,,-3.18333329471901,-6.62203218318919,0.880494824828688,,,,,,,impute.mean,0.979460000991821
gblinear,5.23140930484795,,,-1.68373943459792,-3.35338165045168,0.259510018068189,,,,,,,impute.mean,0.973488926887512
gblinear,5.06582926306874,,,-6.00580846659053,-5.08455421882372,0.254077108902353,,,,,,,impute.median,0.979957103729248
gblinear,4.9965787739493,,,-6.30240064129501,-7,0.212790082162246,,,,,,,impute.mean,0.980478703975677
gblinear,5.12661756777732,,,-1.95038181290254,-7,0.185008169844709,,,,,,,impute.median,0.98125696182251
dart,5.36098604231037,,,-3.57316068046932,-4.41661842084912,0.459837323101238,,,,,0.000403751851990819,0,impute.median,1
gblinear,7.59675687060446,,,-1.34525477024451,-3.28289405487866,0.449778385545975,,,,,,,impute.median,0.976510882377625
dart,5.46764346911718,,,-7,-7,0.264718781085685,,,,,0.155506968595388,0,impute.median,1
dart,6.0291918832917,,,3.37817932622907,-3.94516178163354,0.432289791314471,,,,,0.195902788009014,0,impute.median,1
dart,5.51229604019141,,,-0.666930927346531,-6.56609575543553,0.17675495580145,,,,,0.280708973016142,0,impute.median,1
dart,7.83033194792026,,,-4.46147045016642,-3.67705552364661,0.272576151839222,,,,,0.0452358744098427,0,impute.mean,1
dart,2.81145905191079,,,-6.5643963413313,2.36024249593856,0.312764938431027,,,,,0.236070564007743,0.0160274289440045,impute.mean,1
dart,7.88086055172607,,,6.92498763091862,-3.0206778025265,0.173887788434513,,,,,0.192662526754884,0.0284994231606409,impute.hist,1
