algorithm,fraction_budget,mean_meta_score,se_meta_score,mean_rank,se_rank
smac4bb,0.05,-2.19280205059611,0.320981120372588,3,0.801783725737273
smac4bb,0.06,-1.97346804786034,0.267524127835209,3.375,0.625
smac4bb,0.07,-1.78381234849169,0.248336063349532,3.5,0.654653670707977
smac4bb,0.08,-1.59794911715012,0.223688123589528,3.875,0.580563150250316
smac4bb,0.09,-1.3943341237117,0.15755482367123,4.375,0.595743832771867
smac4bb,0.1,-1.33596905395733,0.157301374500672,4.375,0.564974714984156
smac4bb,0.11,-1.20384734333658,0.106265476507983,5,0.422577127364258
smac4bb,0.12,-1.09309315687024,0.0887056033029944,4.875,0.295048422176041
smac4bb,0.13,-1.0047747542109,0.0839216313753211,5,0.327326835353989
smac4bb,0.14,-0.932465807794896,0.0839487655422636,5.25,0.25
smac4bb,0.15,-0.876954230019895,0.0722259525831582,5.25,0.25
smac4bb,0.16,-0.778181914037429,0.0427683172434841,5.5,0.188982236504614
smac4bb,0.17,-0.723867927014279,0.0481299458363223,5.375,0.18298126367785
smac4bb,0.18,-0.692155446130844,0.0522276206804471,5.5,0.188982236504614
smac4bb,0.19,-0.642523399854632,0.0558345946495889,5.25,0.163663417676994
smac4bb,0.2,-0.615359149888828,0.0591143977358857,5.375,0.18298126367785
smac4bb,0.21,-0.587257676197227,0.0568435184619816,5.375,0.18298126367785
smac4bb,0.22,-0.55430560301907,0.056350156361236,5.375,0.18298126367785
smac4bb,0.23,-0.542974917657676,0.0577286751671925,5.375,0.18298126367785
smac4bb,0.24,-0.504093204895226,0.0603143427780342,5.375,0.18298126367785
smac4bb,0.25,-0.494181052879957,0.0600530422270737,5.375,0.18298126367785
smac4bb,0.26,-0.264607576267365,0.0877985789186013,5.375,0.18298126367785
smac4bb,0.27,-0.121418219560489,0.0936713468225255,5.125,0.226581741793741
smac4bb,0.28,0.0274036645869613,0.106674235237872,4.75,0.3659625273557
smac4bb,0.29,0.0839078028872327,0.0981007883239325,4.625,0.375
smac4bb,0.3,0.145746555703106,0.100918438122818,4.5,0.327326835353989
smac4bb,0.31,0.211984893344673,0.0929282241045249,4.375,0.323899234771733
smac4bb,0.32,0.285813493104296,0.0991863362369556,4.375,0.323899234771733
smac4bb,0.33,0.347511831208159,0.0975045308229462,4.25,0.411877235523957
smac4bb,0.34,0.385142779445123,0.101439833209342,4.25,0.411877235523957
smac4bb,0.35,0.427239808053385,0.0977320346211877,4.25,0.411877235523957
smac4bb,0.36,0.456422488736964,0.101256329815294,4.25,0.411877235523957
smac4bb,0.37,0.494110125330688,0.101981414663739,4.125,0.440677238544752
smac4bb,0.38,0.52647847237719,0.0995054949031981,4.125,0.440677238544752
smac4bb,0.39,0.542260615454174,0.10239381334649,4.125,0.440677238544752
smac4bb,0.4,0.576696676658887,0.10369161797164,4.125,0.440677238544752
smac4bb,0.41,0.584893506858906,0.103490188001566,4.125,0.440677238544752
smac4bb,0.42,0.599920905397048,0.102555313436363,4,0.377964473009227
smac4bb,0.43,0.622415951983422,0.101892764649962,4,0.5
smac4bb,0.44,0.649648425927444,0.100926820922433,3.875,0.440677238544752
smac4bb,0.45,0.656806530039196,0.102113995569898,3.875,0.440677238544752
smac4bb,0.46,0.667876258416206,0.102112092880302,3.875,0.440677238544752
smac4bb,0.47,0.677285447906007,0.102891289100277,3.875,0.440677238544752
smac4bb,0.48,0.695300077517864,0.101236173278993,3.875,0.440677238544752
smac4bb,0.49,0.700761976161298,0.102445417459496,3.875,0.440677238544752
smac4bb,0.5,0.709030448198452,0.100110622438722,4,0.5
smac4bb,0.51,0.712698949457147,0.100225216707637,4,0.5
smac4bb,0.52,0.725168022104604,0.103314420662684,4,0.5
smac4bb,0.53,0.739970865438169,0.100611633962686,4,0.5
smac4bb,0.54,0.747122254407174,0.100375294942311,3.875,0.440677238544752
smac4bb,0.55,0.761949206277571,0.0951859329414557,3.875,0.440677238544752
smac4bb,0.56,0.769627555621097,0.0961970152913469,3.875,0.440677238544752
smac4bb,0.57,0.783210888916031,0.0908777752362916,3.75,0.411877235523957
smac4bb,0.58,0.792301446824868,0.090780496888635,3.75,0.411877235523957
