input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,RS_1000,acqf,1,17,0.24437849171693,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,RS_1000,acqf,1,18,0.021554650655378,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,RS_1000,acqf,1,19,0.482071645274388,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,RS_1000,acqf,1,20,0.250629312462163,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,RS_1000,acqf,1,21,0.0109676007244819,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,RS_1000,acqf,1,22,0.179606984844753,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,1,23,0.442522404382321,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,acqopt,1,24,0.50424073046997,0,14,1
unitcube,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,2,1,0.512888514104533,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,2,2,0.363397887677481,0,14,2
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,2,3,0.374524753586166,0,14,2
none,log,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,2,4,0.500015249337224,0,14,2
none,log,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,2,5,0.50371605392064,0,14,2
none,log,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,2,6,0.526204541897271,0,14,2
none,log,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,2,7,0.541737786027767,0,14,2
none,log,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,2,8,0.484122135174963,0,14,2
none,log,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,2,9,0.49006533257233,0,14,2
none,log,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,RS_1000,trees,2,10,0.485378455165533,0,14,2
none,log,random,0.25,0,500,jack,EI,,FALSE,,RS_1000,variance_estimator,2,11,0.52076357886025,0,14,2
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,variance_estimator,2,12,0.528673659392835,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,PI,,,,RS_1000,acqf,2,13,0.525642617160156,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,RS_1000,acqf,2,14,0.521593023406273,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,RS_1000,acqf,2,15,0.526949977155659,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,RS_1000,acqf,2,16,0.522890907035417,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,RS_1000,acqf,2,17,0.478687484645012,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,RS_1000,acqf,2,18,0.543090398340129,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,RS_1000,acqf,2,19,0.511293669773988,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,RS_1000,acqf,2,20,0.483331617135691,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,RS_1000,acqf,2,21,0.507444726611883,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,2,22,0.563609276514055,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,acqopt,2,23,0.683507688899183,0,14,2
unitcube,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,input_trafo,3,1,0.701935107467709,0,14,3
